wavelength_micron,total_depth_ppm,aerosols_depth_ppm,rayleigh_plus_cia_depth_ppm,molecule_H2O_depth_ppm,molecule_CO_depth_ppm,molecule_CO2_depth_ppm,molecule_CH4_depth_ppm,molecule_NH3_depth_ppm
7.034376474551951031e-01,2.765821458933435679e+03,2.762324713992896704e+03,2.524006991354687671e+03,2.629270723428157908e+03,2.322045884355646194e+03,2.322045865534533277e+03,2.322045863941310017e+03,2.327704971168226166e+03
7.041414369387146710e-01,2.768868288397980450e+03,2.762308089208893762e+03,2.523727720302006219e+03,2.627377554655319727e+03,2.322045881955272762e+03,2.322045865697145928e+03,2.322045863941310017e+03,2.328037111216138783e+03
7.048459305637304606e-01,2.767897145820782498e+03,2.762291510890639984e+03,2.523448422549840416e+03,2.638062188486697323e+03,2.322045887731446783e+03,2.322045865613538808e+03,2.322045863941310017e+03,2.328089666535840024e+03
7.055511290347377118e-01,2.769772766366378619e+03,2.762274978981118238e+03,2.523169097637050072e+03,2.637840123245443010e+03,2.322045879203646109e+03,2.322045866043543811e+03,2.322045863941310017e+03,2.327987634722404891e+03
7.062570330569323263e-01,2.768265621678090611e+03,2.762258493422827996e+03,2.522889746627273780e+03,2.622280292597704829e+03,2.322045874555961291e+03,2.322045865684228374e+03,2.322045863941310017e+03,2.328229519740244541e+03
7.069636433362168626e-01,2.767786348245113913e+03,2.762242054157784878e+03,2.522610369863272354e+03,2.624678094926396625e+03,2.322045877504320742e+03,2.322045866023780491e+03,2.322045863941310017e+03,2.328170331230174270e+03
7.076709605792043112e-01,2.769312305726020895e+03,2.762225661127526109e+03,2.522330967134493221e+03,2.650286436188086100e+03,2.322045881587795066e+03,2.322045868717570102e+03,2.322045863941310017e+03,2.328190082094367881e+03
7.083789854932113217e-01,2.767210203427503075e+03,2.762209314273123709e+03,2.522051539335653160e+03,2.623133624182164112e+03,2.322045872235254137e+03,2.322045865675393088e+03,2.322045863941310017e+03,2.327842864508246748e+03
7.090877187862631992e-01,2.768522182595706909e+03,2.762193013535174032e+03,2.521772085146905283e+03,2.639896352472021135e+03,2.322045887154679804e+03,2.322045868240161326e+03,2.322045863941310017e+03,2.327787734606933100e+03
7.097971611670931269e-01,2.768665854688921172e+03,2.762176758853818683e+03,2.521492607047704951e+03,2.652351344354540743e+03,2.322045874714242473e+03,2.322045868443346535e+03,2.322045863941310017e+03,2.327454312267945170e+03
7.105073133451428324e-01,2.768483015324475218e+03,2.762160550168734517e+03,2.521213104184501390e+03,2.653735572153402245e+03,2.322045872798373694e+03,2.322046080729498499e+03,2.322045863941310017e+03,2.327255405924579009e+03
7.112181760305654743e-01,2.767390811215889698e+03,2.762144387419146824e+03,2.520933575253289291e+03,2.640014320141001008e+03,2.322045875103819981e+03,2.322045941673316520e+03,2.322045863941310017e+03,2.327309855081603928e+03
7.119297499342222002e-01,2.766713213435296439e+03,2.762128270543833423e+03,2.520654022530809925e+03,2.647112934108504760e+03,2.322045869901706283e+03,2.322046103348811357e+03,2.322045863941310017e+03,2.327566530060556943e+03
7.126420357676882533e-01,2.767386271780771040e+03,2.762112199481124208e+03,2.520374445147593178e+03,2.656562750717159815e+03,2.322045870364024267e+03,2.322045989221971922e+03,2.322045863941310017e+03,2.327445200711824327e+03
7.133550342432503077e-01,2.768915345468953092e+03,2.762096174168912967e+03,2.520094843997137559e+03,2.656832004971826791e+03,2.322045869728075104e+03,2.322046003034921341e+03,2.322045863941310017e+03,2.327273374488418540e+03
7.140687460739056913e-01,2.767488321052939227e+03,2.762080194544653295e+03,2.519815219039808653e+03,2.658559111374366239e+03,2.322045870528278556e+03,2.322045979361452282e+03,2.322045863941310017e+03,2.327257715858721895e+03
7.147831719733666045e-01,2.768908796723596424e+03,2.762064260545370871e+03,2.519535570072159771e+03,2.653685986239774138e+03,2.322045868561368934e+03,2.322046004077416910e+03,2.322045863941310017e+03,2.327484066810272452e+03
7.154983126560585660e-01,2.770289845547161804e+03,2.762048372107660271e+03,2.519255898188405354e+03,2.673057301448427552e+03,2.322045867226346218e+03,2.322045968993842507e+03,2.322045863941310017e+03,2.327321929642685063e+03
7.162141688371232995e-01,2.771392208162728821e+03,2.762032529167700432e+03,2.518976202671383817e+03,2.686922175250963846e+03,2.322045867804554291e+03,2.322046420261645835e+03,2.322045863941310017e+03,2.327133743589534788e+03
7.169307412324176232e-01,2.784073168055310362e+03,2.762016731661248286e+03,2.518696485995486910e+03,2.735563653614514806e+03,2.322045870991059928e+03,2.322046102330610211e+03,2.322045863941310017e+03,2.327048958381948523e+03
7.176480305585123398e-01,2.781733822295175742e+03,2.762000979523643764e+03,2.518416746411235636e+03,2.713733608417467622e+03,2.322045867877220644e+03,2.322046091442539819e+03,2.322045863941310017e+03,2.327091163449658325e+03
7.183660375326973435e-01,2.776448741831265124e+03,2.761985272689824797e+03,2.518136983845549821e+03,2.696613718016510575e+03,2.322045870919826939e+03,2.322046048947869167e+03,2.322045863941310017e+03,2.327027114465073282e+03
7.190847628729812868e-01,2.775882946553017973e+03,2.761969611094319134e+03,2.517857199180585212e+03,2.688809322077910565e+03,2.322045867469852055e+03,2.322046251168245362e+03,2.322045863941310017e+03,2.326872901048254789e+03
7.198042072980874728e-01,2.777642005320030876e+03,2.761953994671257078e+03,2.517577393196847879e+03,2.701231689123161232e+03,2.322045866784110785e+03,2.322046153028179106e+03,2.322045863941310017e+03,2.326934802429787396e+03
7.205243715274590732e-01,2.781458291642387849e+03,2.761938423354367387e+03,2.517297565333509283e+03,2.725869662471816355e+03,2.322045866687899434e+03,2.322046107828092318e+03,2.322045863941310017e+03,2.327184093975702581e+03
7.212452562812622370e-01,2.771781027733701194e+03,2.761922897076996378e+03,2.517017717334197641e+03,2.701972559087284480e+03,2.322045865438334204e+03,2.322046114120714265e+03,2.322045863941310017e+03,2.327638660334263932e+03
7.219668622803814273e-01,2.771988533457438734e+03,2.761907415772093373e+03,2.516737847111272913e+03,2.694587142859463711e+03,2.322045865409323596e+03,2.322046105342052670e+03,2.322045863941310017e+03,2.328352342384092026e+03
7.226891902464230855e-01,2.771958457502571036e+03,2.761891979372229343e+03,2.516457956900126646e+03,2.692321194337755514e+03,2.322045865292261169e+03,2.322046247646857410e+03,2.322045863941310017e+03,2.328763473941005032e+03
7.234122409017165189e-01,2.774758513960616710e+03,2.761876587809593730e+03,2.516178045344628117e+03,2.703161572429703938e+03,2.322045865466469877e+03,2.322046094162408281e+03,2.322045863941310017e+03,2.329793433134918814e+03
7.241360149693104598e-01,2.773214054780624338e+03,2.761861241016005806e+03,2.515898114658793929e+03,2.689958272141202087e+03,2.322045864819157032e+03,2.322046049132866301e+03,2.322045863941310017e+03,2.331992130158487726e+03
7.248605131729792816e-01,2.776872469784204441e+03,2.761845938922910136e+03,2.515618164076811354e+03,2.695679626993520742e+03,2.322045864892955706e+03,2.322046152155903201e+03,2.322045863941310017e+03,2.334413944219627410e+03
