panel,sweep,level,species,point_index,x,value
a,pressure_melt,base,H2,1,3.1667144089270707,-0.262743461368677
a,pressure_melt,base,H2,2,3.333428816876389,-0.19635986933569782
a,pressure_melt,base,H2,3,3.5001432248257074,-0.15569244514895786
a,pressure_melt,base,H2,4,3.666857633752778,-0.13256783139571304
a,pressure_melt,base,H2,5,3.8335338487411583,-0.11980942380771609
a,pressure_melt,base,H2,6,4.000248257668229,-0.1148256682919726
a,pressure_melt,base,H2,7,4.166466151258842,-0.1148256682919726
a,pressure_melt,base,H2,8,4.333180559208159,-0.11741722238496699
a,pressure_melt,base,H2,9,4.499894967157478,-0.12240097790071047
a,pressure_melt,base,H2,10,4.666609376084549,-0.13256783139571304
a,pressure_melt,base,H2,11,4.833285591072929,-0.15050934206633393
a,pressure_melt,base,H2,12,5.0,-0.18619301584069525
a,pressure_melt,base,H2O,0,3.0,-0.6506787869878465
a,pressure_melt,base,H2O,1,3.1667144089270707,-0.7246376835261987
a,pressure_melt,base,H2O,2,3.333428816876389,-0.8394633518181713
a,pressure_melt,base,H2O,3,3.5001432248257074,-0.9568805690997735
a,pressure_melt,base,H2O,4,3.666857633752778,-1.05376473182449
a,pressure_melt,base,H2O,5,3.8335338487411583,-1.1227398677437357
a,pressure_melt,base,H2O,6,4.000248257668229,-1.1636066446007192
a,pressure_melt,base,H2O,7,4.166466151258842,-1.1813488077044596
a,pressure_melt,base,H2O,8,4.333180559208159,-1.1813488077044596
a,pressure_melt,base,H2O,9,4.499894967157478,-1.1787572536114652
a,pressure_melt,base,H2O,10,4.666609376084549,-1.1787572536114652
a,pressure_melt,base,H2O,11,4.833285591072929,-1.1992903132717174
a,pressure_melt,base,H2O,12,5.0,-1.2656739053046948
a,pressure_melt,base,CO,0,3.0,-1.0870561990727374
a,pressure_melt,base,CO,1,3.1667144089270707,-1.4570500191246492
a,pressure_melt,base,CO,2,3.333428816876389,-1.908578040220286
a,pressure_melt,base,CO,3,3.5001432248257074,-2.3475469961914452
a,pressure_melt,base,CO,4,3.666857633752778,-2.725116125852093
a,pressure_melt,base,CO,5,3.8335338487411583,-3.0159679462830304
a,pressure_melt,base,CO,6,4.000248257668229,-3.1794350435042418
a,pressure_melt,base,CO,7,4.166466151258842,-3.1794350435042418
a,pressure_melt,base,CO,8,4.333180559208159,-3.0518509676242713
a,pressure_melt,base,CO,9,4.499894967157478,-2.8527002017320626
a,pressure_melt,base,CO,10,4.666609376084549,-2.618065109632375
a,pressure_melt,base,CO,11,4.833285591072929,-2.350138550284438
a,pressure_melt,base,CO,12,5.0,-2.066862029255512
a,pressure_melt,base,CO2,0,3.0,-1.227398682540704
a,pressure_melt,base,CO2,1,3.1667144089270707,-1.765644002659327
a,pressure_melt,base,CO2,2,3.333428816876389,-2.4011721806364257
a,pressure_melt,base,CO2,3,3.5001432248257074,-2.9956342341896605
a,pressure_melt,base,CO2,4,3.666857633752778,-3.495803679111172
a,pressure_melt,base,CO2,5,3.8335338487411583,-3.8683890532560783
a,pressure_melt,base,CO2,6,4.000248257668229,-4.07491577608678
a,pressure_melt,base,CO2,7,4.166466151258842,-4.0928572867574
a,pressure_melt,base,CO2,8,4.333180559208159,-3.96527321087743
a,pressure_melt,base,CO2,9,4.499894967157478,-3.755955586386854
a,pressure_melt,base,CO2,10,4.666609376084549,-3.5111536407921626
a,pressure_melt,base,CO2,11,4.833285591072929,-3.2456192828669757
a,pressure_melt,base,CO2,12,5.0,-2.9904511311070356
a,pressure_melt,base,CH4,0,3.0,-0.94910591702752
a,pressure_melt,base,CH4,1,3.1667144089270707,-0.9568805690997735
a,pressure_melt,base,CH4,2,3.333428816876389,-1.0920399545884791
a,pressure_melt,base,CH4,3,3.5001432248257074,-1.2911907204806887
a,pressure_melt,base,CH4,4,3.666857633752778,-1.5003089974043817
a,pressure_melt,base,CH4,5,3.8335338487411583,-1.6867013557085961
a,pressure_melt,base,CH4,6,4.000248257668229,-1.791160817835319
a,pressure_melt,base,CH4,7,4.166466151258842,-1.7734186547315804
a,pressure_melt,base,CH4,8,4.333180559208159,-1.6508183343673526
a,pressure_melt,base,CH4,9,4.499894967157478,-1.472200628135397
a,pressure_melt,base,CH4,10,4.666609376084549,-1.2656739053046948
a,pressure_melt,base,CH4,11,4.833285591072929,-1.0360225687207496
a,pressure_melt,base,CH4,12,5.0,-0.791021270455813
a,pressure_melt,base,N2,0,3.0,-3.153918228328248
a,pressure_melt,base,N2,1,3.1667144089270707,-3.378386461829569
a,pressure_melt,base,N2,2,3.333428816876389,-3.6259793090841352
a,pressure_melt,base,N2,3,3.5001432248257074,-3.8556306456680813
a,pressure_melt,base,N2,4,3.666857633752778,-4.036640553322788
a,pressure_melt,base,N2,5,3.8335338487411583,-4.176983036790754
a,pressure_melt,base,N2,6,4.000248257668229,-4.330083927846719
a,pressure_melt,base,N2,7,4.166466151258842,-4.562326818523657
a,pressure_melt,base,N2,8,4.333180559208159,-4.960429002741194
a,pressure_melt,base,N2,9,4.499894967157478,-5.656958316998405
a,pressure_melt,base,N2,10,4.666609376084549,-6.9736658526550865
a,pressure_melt,base,N2,11,4.833285591072929,-9.4487969247265
a,pressure_melt,base,N2,12,4.855781533502263,-10.0
a,pressure_melt,base,NH3,0,3.0,-4.35061698750697
a,pressure_melt,base,NH3,1,3.1667144089270707,-4.319917074351714
a,pressure_melt,base,NH3,2,3.333428816876389,-4.342842335434716
a,pressure_melt,base,NH3,3,3.5001432248257074,-4.396467519879696
a,pressure_melt,base,NH3,4,3.666857633752778,-4.4526842482109465
a,pressure_melt,base,NH3,5,3.8335338487411583,-4.503717878562934
a,pressure_melt,base,NH3,6,4.000248257668229,-4.572493672018662
a,pressure_melt,base,NH3,7,4.166466151258842,-4.6873193403106335
a,pressure_melt,base,NH3,8,4.333180559208159,-4.889061660295836
a,pressure_melt,base,NH3,9,4.499894967157478,-5.246297072759751
a,pressure_melt,base,NH3,10,4.666609376084549,-5.919901120830598
a,pressure_melt,base,NH3,11,4.833285591072929,-7.185575026135291
a,pressure_melt,base,NH3,12,5.0,-9.24984550129781
a,pressure_melt,radius,radius,0,3.0,1.5250323943623703
a,pressure_melt,radius,radius,1,3.1667144089270707,1.559739249748925
a,pressure_melt,radius,radius,2,3.333428816876389,1.6028586806491518
a,pressure_melt,radius,radius,3,3.5001432248257074,1.652357315343377
a,pressure_melt,radius,radius,4,3.666857633752778,1.705683471803665
a,pressure_melt,radius,radius,5,3.8335338487411583,1.758252098323752
a,pressure_melt,radius,radius,6,4.000248257668229,1.8075115123653658
a,pressure_melt,radius,radius,7,4.166466151258842,1.85138847371613
a,pressure_melt,radius,radius,8,4.333180559208159,1.8906803818296212
a,pressure_melt,radius,radius,9,4.499894967157478,1.9261647029337379
a,pressure_melt,radius,radius,10,4.666609376084549,1.9578015664944308
a,pressure_melt,radius,radius,11,4.833285591072929,1.9794908593940257
a,pressure_melt,radius,radius,12,5.0,1.9840759126312983
b,temperature_melt,surface,H2,0,2000.0,-1.2196240304684487
b,temperature_melt,surface,H2,1,2100.2196123119866,-0.9235891018515261
b,temperature_melt,surface,H2,2,2199.9809032262056,-0.6837709117725783
b,temperature_melt,surface,H2,3,2300.200515538192,-0.49757789593188306
b,temperature_melt,surface,H2,4,2399.9236125137204,-0.36221916797966003
b,temperature_melt,surface,H2,5,2500.1432248257074,-0.2679265593479361
b,temperature_melt,surface,H2,6,2599.866322778988,-0.20672607550094568
b,temperature_melt,surface,H2,7,2700.085935090975,-0.16585929864396043
b,temperature_melt,surface,H2,8,2799.8090330442556,-0.14034248346796652
b,temperature_melt,surface,H2,9,2900.028645356242,-0.12240097790071047
b,temperature_melt,surface,H2,10,3000.248257668229,-0.11223411930234306
b,temperature_melt,surface,H2,11,3099.9713546437574,-0.10465881479697003
b,temperature_melt,surface,H2,12,3200.1909669557444,-0.0994757117143461
b,temperature_melt,surface,H2,13,3299.952257869963,-0.09429260863172217
b,temperature_melt,surface,H2,14,3400.17187018195,-0.09190040720897308
b,temperature_melt,surface,H2,15,3499.8949671574783,-0.09190040720897308
b,temperature_melt,surface,H2,16,3600.114579469465,-0.08930885311597869
b,temperature_melt,surface,H2,17,4000.0,-0.08930885311597869
b,temperature_melt,surface,O2,0,2000.0,-9.591730957184097
b,temperature_melt,surface,O2,1,2100.2196123119866,-9.563622593018472
b,temperature_melt,surface,O2,2,2199.9809032262056,-9.54069732683211
b,temperature_melt,surface,O2,3,2300.200515538192,-9.517772060645745
b,temperature_melt,surface,O2,4,2399.9236125137204,-9.497239000985495
b,temperature_melt,surface,O2,5,2500.1432248257074,-9.476905288892123
b,temperature_melt,surface,O2,6,2599.866322778988,-9.458963778221504
b,temperature_melt,surface,O2,7,2700.085935090975,-9.443813169210756
b,temperature_melt,surface,O2,8,2799.8090330442556,-9.428463207529767
b,temperature_melt,surface,O2,9,2900.028645356242,-9.41311325095214
b,temperature_melt,surface,O2,10,3000.248257668229,-9.400354843364141
b,temperature_melt,surface,O2,11,3099.9713546437574,-9.387596435776146
b,temperature_melt,surface,O2,12,3200.1909669557444,-9.374838028188147
b,temperature_melt,surface,O2,13,3299.952257869963,-9.364671169589782
b,temperature_melt,surface,O2,14,3400.17187018195,-9.354504316094777
b,temperature_melt,surface,O2,15,3499.8949671574783,-9.344138109929531
b,temperature_melt,surface,O2,16,3600.114579469465,-9.333971256434527
b,temperature_melt,surface,O2,17,3699.8376774227454,-9.32380439783616
b,temperature_melt,surface,O2,18,3800.0572897347324,-9.316229093330787
b,temperature_melt,surface,O2,19,3899.7803876880134,-9.308454441258533
b,temperature_melt,surface,O2,20,4000.0,-9.300879131649797
b,temperature_melt,surface,H2O,0,2000.0,-0.03827522276399087
b,temperature_melt,surface,H2O,1,2100.2196123119866,-0.07136734754872265
b,temperature_melt,surface,H2O,2,2199.9809032262056,-0.12758407587996956
b,temperature_melt,surface,H2O,3,2300.200515538192,-0.21170983101668917
b,temperature_melt,surface,H2O,4,2399.9236125137204,-0.3239439452156674
b,temperature_melt,surface,H2O,5,2500.1432248257074,-0.4593026731678904
b,temperature_melt,surface,H2O,6,2599.866322778988,-0.6072204662445948
b,temperature_melt,surface,H2O,7,2700.085935090975,-0.76032135730056
b,temperature_melt,surface,H2O,8,2799.8090330442556,-0.9134222483565235
