reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,temperature_k
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,25,64.632331,92.096192,4.8292494937570245,67491.5642295723,2903.0907427557977
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,26,64.833102,91.264427,4.8206195028752195,66163.65720220916,2874.5228466004974
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,27,64.937073,90.848544,4.816150387405495,65486.29006025817,2860.23888134979
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,28,65.037458,90.432661,4.811835413456717,64838.86641975371,2845.954916099082
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,29,65.137844,90.020364,4.80752039652369,64197.837114180875,2831.7941160159553
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,30,65.241814,89.604481,4.803051324038215,63540.601840526644,2817.510150765248
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,31,65.3422,89.192184,4.798736307105187,62912.40782476724,2803.3493506821205
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,32,65.442585,88.783471,4.794421333156411,62290.43061290618,2789.3116470743453
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,33,65.546556,88.371174,4.789952217686686,61652.716605861366,2775.1508469912187
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,34,65.747327,87.553749,4.781322226804881,60439.68981397262,2747.0754741217825
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,35,65.851298,87.145037,4.776853111335155,59820.923233029505,2733.0378048601224
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,36,65.951683,86.736325,4.772538137386379,59229.50967360783,2719.000135598461
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,37,66.052069,86.331198,4.768223120453351,58643.93726076371,2705.085597158267
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,38,66.156039,85.922485,4.763754047967876,58043.560894731505,2691.047893550491
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,39,66.35681,85.112231,4.755124057086071,56901.54480301494,2663.2188166701017
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,40,66.460781,84.707104,4.750654941616347,56319.00087473693,2649.3042782299076
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,41,66.661552,83.89685,4.742024950734542,55210.91576974158,2621.4752013495186
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,2,non_convective,42,66.765522,83.491723,4.737555878249067,54645.68549149879,2607.5606629093236
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,3,convective,0,66.865908,83.086595,4.733240861316039,54105.43104601862,2593.646090123015
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,3,convective,1,69.913324,76.887792,4.602249969737745,40017.50148583285,2380.741290821331
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,3,convective,2,72.957155,71.194501,4.471413176696147,29608.279832798577,2185.198864691466
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,3,convective,3,76.004572,65.963701,4.340422242133601,21898.89706125578,2005.5412075297127
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,3,convective,4,79.051988,61.159538,4.209431350555307,16196.879476693308,1840.5368737369502
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,3,convective,5,82.19979,56.61351,4.074125442043984,11861.112962436213,1684.3984742814691
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,3,convective,6,85.347592,52.451098,3.938819533532661,8685.994170056892,1541.435793991271
published_vector_plot_digitization,2,8,left,figure2_mg_si_o_1_1_3,false,temperature,3,convective,7,87.072071,50.321492,3.864694096861709,7323.085367306689,1468.2921018910924
