reference_contract,paper_figure,paper_page,paper_panel,case_id,include_sio_s,quantity,species,segment_index,transport_regime,point_index,vector_x,vector_y,log10_pressure_bar,pressure_bar,log10_mixing_ratio,mixing_ratio
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,21,268.586945,314.270771,5.061344024060616,115171.2350497977,-4.938522457565544,1.1520664844026397e-05
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,22,268.787716,314.077171,5.052712703012117,112904.8772724004,-4.976199685850107,1.0563317029151958e-05
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,23,268.891687,313.983956,5.048242898704055,111748.8078454233,-4.994340609582271,1.0131165044794704e-05
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,24,268.992072,313.887155,5.043927259675242,110643.84502099632,-5.0131794183383285,9.701091071618194e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,25,269.092458,313.79394,5.0396115776555535,109549.79713180264,-5.031320342070482,9.304213296819039e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,26,269.192843,313.69714,5.035295938626742,108466.57794058272,-5.050158956212769,8.909247908845683e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,27,269.296814,313.603925,5.030826134318682,107355.95369090237,-5.068299879944922,8.544764938930968e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,28,269.497585,313.410324,5.022194813270179,105243.38625605477,-5.105977302843267,7.834705875416877e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,29,269.601556,313.317109,5.017725008962119,104165.76530484823,-5.12411822657542,7.514183100083063e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,30,269.802327,313.123509,5.0090936879136185,102115.97490158361,-5.161795454859982,6.8897671597859226e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,31,269.906297,313.026708,5.004623926596433,101070.38652815396,-5.180634263616052,6.59729245193438e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,32,270.006683,312.933493,5.000308244576744,100071.0011306189,-5.198775187348204,6.327393042817095e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,33,270.107068,312.836693,4.995992605547931,99081.50747798434,-5.21761380149048,6.058794165266728e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,0,non_convective,34,270.211039,312.739893,4.99152280123987,98066.97998952393,-5.236452415632767,5.801597354338778e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,1,convective,0,270.311424,312.639507,4.987207162211059,97097.30192958371,-5.255988914798958,5.546398697484126e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,1,convective,1,274.169095,311.87586,4.821362508847319,66276.94915222024,-5.404605145934394,3.939080480217296e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,1,convective,2,278.840605,310.900687,4.620530204424461,41737.862541203634,-5.594387252018795,2.544560305321669e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,1,convective,3,282.189178,309.961366,4.476572119754156,29962.091072074763,-5.777192064774391,1.6703517454219193e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,1,convective,4,285.33698,308.84637,4.3412453561323545,21940.44117901864,-5.994185653763925,1.0134780478873104e-06
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,1,convective,5,288.384396,307.527018,4.21023427453024,16226.851978084896,-6.25094973688217,5.611129127370154e-07
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,1,convective,6,291.327842,306.017651,4.083692954245311,12125.312889715215,-6.544693357874855,2.85303199562485e-07
published_vector_plot_digitization,5,11,right,figure5_mg_si_o_1_1_3_sio_on,true,gas_mixing_ratio,CO,1,convective,7,294.271287,304.260905,3.957151676951258,9060.489824268188,-6.8865803417591085,1.2984333395742955e-07
